Data,Preço médio - recebido pelo agricultor - frango vivo - kg - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná- Departamento de Economia Rural (Seab-PR) - DERAL12_PRFRV12,
1990.01,4.004E-06,
1990.02,7.305E-06,
1990.03,1.2069E-05,
1990.04,1.2905E-05,
1990.05,1.288E-05,
1990.06,1.6084E-05,
1990.07,2.1229E-05,
1990.08,2.5444E-05,
1990.09,3.2651E-05,
1990.10,3.3051E-05,
1990.11,2.9055E-05,
1990.12,2.9255E-05,
1991.01,4.1404E-05,
1991.02,5.6625E-05,
1991.03,6.252E-05,
1991.04,6.0178E-05,
1991.05,6.2858E-05,
1991.06,6.9156E-05,
1991.07,7.8782E-05,
1991.08,8.9709E-05,
1991.09,9.4902E-05,
1991.10,0.00012292,
1991.11,0.000164331,
1991.12,0.000176229,
1992.01,0.000234244,
1992.02,0.000306705,
1992.03,0.0003286,
1992.04,0.000342891,
1992.05,0.00046724,
1992.06,0.000616356,
1992.07,0.000703916,
1992.08,0.000875425,
1992.09,0.001185731,
1992.10,0.001691804,
1992.11,0.002058869,
1992.12,0.002481553,
1993.01,0.003093818,
1993.02,0.003575273,
1993.03,0.004636364,
1993.04,0.006033818,
1993.05,0.006984,
1993.06,0.008909818,
1993.07,0.013909455,
1993.08,0.019818182,
1993.09,0.026752727,
1993.10,0.035356364,
1993.11,0.043807273,
1993.12,0.061741818,
1994.01,0.08544,
1994.02,0.108647273,
1994.03,0.177429091,
1994.04,0.227949091,
1994.05,0.297767273,
1994.06,0.43584,
1994.07,0.54,
1994.08,0.55,
1994.09,0.56,
1994.10,0.6,
1994.11,0.67,
1994.12,0.72,
1995.01,0.72,
1995.02,0.63,
1995.03,0.58,
1995.04,0.58,
1995.05,0.55,
1995.06,0.55,
1995.07,0.57,
1995.08,0.62,
1995.09,0.62,
1995.10,0.61,
1995.11,0.57,
1995.12,0.62,
1996.01,0.63,
1996.02,0.64,
1996.03,0.65,
1996.04,0.64,
1996.05,0.67,
1996.06,0.69,
1996.07,0.68,
1996.08,0.67,
1996.09,0.69,
1996.10,0.72,
1996.11,0.74,
1996.12,0.74,
1997.01,0.7,
1997.02,0.67,
1997.03,0.66,
1997.04,0.64,
1997.05,0.63,
1997.06,0.64,
1997.07,0.63,
1997.08,0.65,
1997.09,0.67,
1997.10,0.66,
1997.11,0.65,
1997.12,0.64,
